rango_edad,sexo,grado_escolar,frecuencia_asistencia,apoyo_familiar,rendimiento_academico,considera_desertar,situacion_economica,acceso_tecnologia,actividades_extras,relacion_social,motivacion_estudios,tiempo_traslado,trabaja_estudia,vive_solo,horario_adecuado,nombre
18,0,0,100,3,3,0,4,2,0,4,5,60,2,1,0,Diego
18,1,1,60,3,4,0,4,2,0,5,4,60,2,1,0,Jorge
18,1,1,100,3,4,1,1,2,0,5,5,60,2,1,0,María
18,1,1,20,2,5,1,1,0,1,1,1,60,2,1,0,Pedro
18,1,1,80,3,5,0,3,2,0,2,5,60,2,1,0,Laura
18,0,1,100,3,4,0,3,2,0,3,4,60,2,1,0,Carlos
18,1,0,100,3,3,0,3,1,0,4,4,60,2,1,0,Sofía
18,0,1,100,3,3,1,2,2,0,4,3,60,2,1,0,Elena
15,1,1,0,2,5,1,1,0,1,1,1,60,2,1,2,Laura
22,0,1,80,3,4,0,4,2,0,4,4,10,0,1,1,Elena
19,0,1,100,3,3,1,2,2,0,3,3,10,0,1,1,Jorge
19,1,1,80,2,4,0,3,2,1,4,4,22,1,0,0,Ana
22,1,1,80,2,4,0,3,2,0,3,5,10,1,0,1,Sofía
22,1,1,80,2,2,1,2,2,0,3,2,10,0,1,1,Diego
16,0,1,100,3,4,0,3,2,0,3,4,22,0,0,1,Jorge
19,0,1,100,3,4,0,3,1,0,4,4,22,1,0,1,Marta
22,0,1,80,0,2,1,3,2,0,3,3,10,1,0,1,Marta
19,0,1,100,3,3,1,3,2,0,4,4,10,0,0,1,Isabel
15,1,1,80,2,2,0,3,1,0,3,3,22,1,1,0,Sofía
19,1,1,100,3,4,0,3,2,0,4,5,10,0,0,0,Sofía
19,0,1,100,3,5,0,3,2,0,4,5,10,0,1,1,Diego
19,1,1,80,2,4,0,3,1,0,4,4,10,0,0,2,María
